filename,circuit_name,location,n_points,length_m,mean_spacing_m,is_closed,gap_m,kml_file,csv_file
Austin - Circuit of the Americas.geojson,Circuit of the Americas,Austin,171,5526,32.51,True,0.0,Circuit_of_the_Americas.kml,Circuit_of_the_Americas.csv
Baku - Baku City Circuit.geojson,Baku City Circuit,Baku,86,5949,69.98,True,0.0,Baku_City_Circuit.kml,Baku_City_Circuit.csv
Barcelona - Circuit de Barcelona-Catalunya.geojson,Circuit de Barcelona-Catalunya,Barcelona,150,4670,31.34,True,0.0,Circuit_de_Barcelona-Catalunya.kml,Circuit_de_Barcelona-Catalunya.csv
Budapest - Hungaroring.geojson,Hungaroring,Budapest,141,4381,31.29,True,0.0,Hungaroring.kml,Hungaroring.csv
Buenos Aires - Autódromo Oscar y Juan Gálvez.geojson,Autódromo Oscar y Juan Gálvez,Buenos Aires,90,4299,48.31,True,0.0,Aut_dromo_Oscar_y_Juan_G_lvez.kml,Aut_dromo_Oscar_y_Juan_G_lvez.csv
Dix - Watkins Glen International.geojson,Watkins Glen International,Dix,86,5454,64.17,True,0.0,Watkins_Glen_International.kml,Watkins_Glen_International.csv
Estoril - Autódromo do Estoril.geojson,Autódromo do Estoril,Estoril,83,4171,50.86,True,0.0,Aut_dromo_do_Estoril.kml,Aut_dromo_do_Estoril.csv
Hockenheim - Hockenheimring.geojson,Hockenheimring,Hockenheim,119,4559,38.63,True,0.0,Hockenheimring.kml,Hockenheimring.csv
Imola - Autodromo Enzo e Dino Ferrari.geojson,Autodromo Enzo e Dino Ferrari,Imola,84,4904,59.08,True,0.0,Autodromo_Enzo_e_Dino_Ferrari.kml,Autodromo_Enzo_e_Dino_Ferrari.csv
Indianapolis - Indianapolis Motor Speedway.geojson,Indianapolis Motor Speedway,Indianapolis,126,4088,32.7,True,0.0,Indianapolis_Motor_Speedway.kml,Indianapolis_Motor_Speedway.csv
Istanbul - Intercity Istanbul Park.geojson,Intercity Istanbul Park,Istanbul,85,5313,63.25,True,0.0,Intercity_Istanbul_Park.kml,Intercity_Istanbul_Park.csv
Jacarepaguá - Autódromo Internacional Nelson Piquet.geojson,Autódromo Internacional Nelson Piquet,Jacarepaguá,93,4967,53.99,True,0.0,Aut_dromo_Internacional_Nelson_Piquet.kml,Aut_dromo_Internacional_Nelson_Piquet.csv
Jeddah - Jeddah Corniche Circuit.geojson,Jeddah Corniche Circuit,Jeddah,152,6203,41.08,True,0.0,Jeddah_Corniche_Circuit.kml,Jeddah_Corniche_Circuit.csv
Johannesburg - Kyalami Grand Prix Circuit.geojson,Kyalami Grand Prix Circuit,Johannesburg,86,4526,53.24,True,0.0,Kyalami_Grand_Prix_Circuit.kml,Kyalami_Grand_Prix_Circuit.csv
Las Vegas - Las Vegas Street Circuit.geojson,Las Vegas Street Circuit,Las Vegas,100,6228,62.91,True,0.0,Las_Vegas_Street_Circuit.kml,Las_Vegas_Street_Circuit.csv
Le Castelle - Circuit Paul Ricard.geojson,Circuit Paul Ricard,Le Castellet,203,5825,28.83,True,0.0,Circuit_Paul_Ricard.kml,Circuit_Paul_Ricard.csv
Lusail - Losail International Circuit.geojson,Losail International Circuit,Lusail,107,5427,51.2,True,0.0,Losail_International_Circuit.kml,Losail_International_Circuit.csv
Madrid - Circuito de Madring.geojson,Circuito de Madring,Madrid,116,5436,47.27,True,0.0,Circuito_de_Madring.kml,Circuito_de_Madring.csv
Magny-Cours - Circuit de Nevers Magny-Cours.geojson,Circuit de Nevers Magny-Cours,Magny-Cours,95,4464,47.48,True,0.0,Circuit_de_Nevers_Magny-Cours.kml,Circuit_de_Nevers_Magny-Cours.csv
